Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-06-05,2827.280029,2800.919922,2818.090088,2826.149902,3548830000,2826.149902,6,5,2,2,2.38,3.7,0.031,0.790,0.179
2019-06-06,2852.100098,2822.449951,2828.51001,2843.48999,3396410000,2843.48999,6,6,3,2,2.37,3.7,0.022,0.809,0.168
2019-06-07,2884.969971,2852.870117,2852.870117,2873.340088,3220250000,2873.340088,6,7,4,2,2.37,3.7,0.028,0.803,0.169
2019-06-10,2904.77002,2885.51001,2885.830078,2886.72998,3209210000,2886.72998,6,10,0,2,2.37,3.7,0.029,0.805,0.166
2019-06-11,2910.610107,2878.530029,2903.27002,2885.719971,3548420000,2885.719971,6,11,1,2,2.37,3.7,0.032,0.798,0.170
2019-06-12,2888.570068,2874.679932,2882.72998,2879.840088,3034130000,2879.840088,6,12,2,2,2.37,3.7,0.025,0.798,0.177
2019-06-13,2895.23999,2881.98999,2886.23999,2891.639893,3069810000,2891.639893,6,13,3,2,2.37,3.7,0.026,0.814,0.159
2019-06-14,2894.449951,2879.620117,2886.820068,2886.97998,2922330000,2886.97998,6,14,4,2,2.36,3.7,0.019,0.820,0.161
2019-06-17,2897.27002,2887.300049,2889.75,2889.669922,2810140000,2889.669922,6,17,0,2,2.38,3.7,0.034,0.785,0.181
2019-06-18,2930.790039,2905.439941,2906.709961,2917.75,3437620000,2917.75,6,18,1,2,2.37,3.7,0.025,0.832,0.142
2019-06-19,2931.73999,2911.429932,2920.550049,2926.459961,3287890000,2926.459961,6,19,2,2,2.37,3.7,0.032,0.803,0.165
2019-06-20,2958.060059,2931.5,2949.600098,2954.179932,3905940000,2954.179932,6,20,3,2,2.37,3.7,0.028,0.809,0.163
2019-06-21,2964.149902,2946.870117,2952.709961,2950.459961,5000120000,2950.459961,6,21,4,2,2.38,3.7,0.036,0.783,0.181
2019-06-24,2954.919922,2944.050049,2951.419922,2945.350098,3136250000,2945.350098,6,24,0,2,2.38,3.7,0.030,0.797,0.173
2019-06-25,2946.52002,2916.01001,2945.780029,2917.379883,3578050000,2917.379883,6,25,1,2,2.38,3.7,0.030,0.802,0.168
2019-06-26,2932.590088,2912.98999,2926.070068,2913.780029,3478130000,2913.780029,6,26,2,2,2.38,3.7,0.026,0.794,0.180
2019-06-27,2929.300049,2918.570068,2919.659912,2924.919922,3122920000,2924.919922,6,27,3,2,2.38,3.7,0.028,0.813,0.159
2019-06-28,2943.97998,2929.050049,2932.939941,2941.76001,5420700000,2941.76001,6,28,4,2,2.4,3.7,0.019,0.803,0.177
2019-07-01,2977.929932,2952.219971,2971.409912,2964.330078,3513270000,2964.330078,7,1,0,2.1,2.39,3.7,0.033,0.799,0.169
2019-07-02,2973.209961,2955.919922,2964.659912,2973.01001,3206840000,2973.01001,7,2,1,2.1,2.4,3.7,0.029,0.791,0.180
2019-07-03,2995.840088,2977.959961,2978.080078,2995.820068,1963720000,2995.820068,7,3,2,2.1,2.41,3.7,0.026,0.798,0.176
2019-07-05,2994.030029,2967.969971,2984.25,2990.409912,2434210000,2990.409912,7,5,4,2.1,2.42,3.7,0.033,0.787,0.180
2019-07-08,2980.76001,2970.090088,2979.77002,2975.949951,2904550000,2975.949951,7,8,0,2.1,2.41,3.7,0.029,0.783,0.188
2019-07-09,2981.899902,2963.439941,2965.52002,2979.629883,3028210000,2979.629883,7,9,1,2.1,2.41,3.7,0.023,0.820,0.157
2019-07-10,3002.97998,2984.620117,2989.300049,2993.070068,3154240000,2993.070068,7,10,2,2.1,2.41,3.7,0.019,0.838,0.143
2019-07-11,3002.330078,2988.800049,2999.620117,2999.909912,3154620000,2999.909912,7,11,3,2.1,2.4,3.7,0.034,0.807,0.159
2019-07-12,3013.919922,3001.870117,3003.360107,3013.77002,2974960000,3013.77002,7,12,4,2.1,2.38,3.7,0.030,0.808,0.162
2019-07-15,3017.800049,3008.77002,3017.800049,3014.300049,2874970000,3014.300049,7,15,0,2.1,2.4,3.7,0.026,0.807,0.166
2019-07-16,3015.02002,3001.149902,3012.129883,3004.040039,3290650000,3004.040039,7,16,1,2.1,2.41,3.7,0.038,0.800,0.162
2019-07-17,3005.26001,2984.25,3005.100098,2984.419922,3181600000,2984.419922,7,17,2,2.1,2.41,3.7,0.040,0.780,0.179
2019-07-18,2998.280029,2973.090088,2978.870117,2995.110107,3296580000,2995.110107,7,18,3,2.1,2.41,3.7,0.036,0.805,0.159
2019-07-19,3006.02002,2975.860107,3004.26001,2976.610107,3260360000,2976.610107,7,19,4,2.1,2.41,3.7,0.027,0.799,0.175
2019-07-22,2990.709961,2976.649902,2981.929932,2985.030029,3003720000,2985.030029,7,22,0,2.1,2.4,3.7,0.033,0.803,0.164
2019-07-23,3005.899902,2988.560059,2994.73999,3005.469971,3313660000,3005.469971,7,23,1,2.1,2.4,3.7,0.046,0.781,0.173
2019-07-24,3019.590088,2996.820068,2998.77002,3019.560059,3428980000,3019.560059,7,24,2,2.1,2.4,3.7,0.037,0.803,0.160
2019-07-25,3016.310059,2997.23999,3016.26001,3003.669922,3645270000,3003.669922,7,25,3,2.1,2.4,3.7,0.035,0.806,0.159
2019-07-26,3027.97998,3012.590088,3013.25,3025.860107,3257590000,3025.860107,7,26,4,2.1,2.4,3.7,0.034,0.800,0.166
2019-07-29,3025.610107,3014.300049,3024.469971,3020.969971,3203710000,3020.969971,7,29,0,2.1,2.4,3.7,0.027,0.808,0.164
2019-07-30,3017.189941,3000.939941,3007.659912,3013.179932,3634330000,3013.179932,7,30,1,2.1,2.39,3.7,0.039,0.806,0.156
2019-07-31,3017.399902,2958.080078,3016.219971,2980.379883,4623430000,2980.379883,7,31,2,2.1,2.4,3.7,0.037,0.800,0.163
2019-08-01,3013.590088,2945.22998,2980.320068,2953.560059,4762300000,2953.560059,8,1,3,2.1,2.14,3.7,0.039,0.799,0.161
2019-08-02,2945.5,2914.110107,2943.899902,2932.050049,3874660000,2932.050049,8,2,4,2.1,2.14,3.7,0.034,0.798,0.168
2019-08-05,2898.070068,2822.120117,2898.070068,2844.73999,4513730000,2844.73999,8,5,0,2.1,2.13,3.7,0.029,0.819,0.152
2019-08-06,2884.399902,2847.419922,2861.179932,2881.77002,4154240000,2881.77002,8,6,1,2.1,2.13,3.7,0.036,0.803,0.162
2019-08-07,2892.169922,2825.709961,2858.649902,2883.97998,4491750000,2883.97998,8,7,2,2.1,2.12,3.7,0.037,0.793,0.169
2019-08-08,2938.719971,2894.469971,2896.209961,2938.090088,4106370000,2938.090088,8,8,3,2.1,2.12,3.7,0.030,0.821,0.150
2019-08-09,2935.75,2900.149902,2930.51001,2918.649902,3350640000,2918.649902,8,9,4,2.1,2.12,3.7,0.025,0.821,0.154
2019-08-12,2907.580078,2873.139893,2907.070068,2882.699951,2851630000,2882.699951,8,12,0,2.1,2.12,3.7,0.029,0.804,0.167
2019-08-13,2943.310059,2877.050049,2880.719971,2926.320068,3853600000,2926.320068,8,13,1,2.1,2.12,3.7,0.029,0.814,0.157
2019-08-14,2894.149902,2839.639893,2894.149902,2840.600098,4312530000,2840.600098,8,14,2,2.1,2.12,3.7,0.021,0.823,0.155
2019-08-15,2856.669922,2825.51001,2846.199951,2847.600098,4038000000,2847.600098,8,15,3,2.1,2.13,3.7,0.033,0.798,0.169
2019-08-16,2893.629883,2864.73999,2864.73999,2888.679932,3498150000,2888.679932,8,16,4,2.1,2.13,3.7,0.025,0.819,0.157
2019-08-19,2931,2913.47998,2913.47998,2923.649902,3212880000,2923.649902,8,19,0,2.1,2.13,3.7,0.021,0.814,0.165
2019-08-20,2923.629883,2899.600098,2919.01001,2900.51001,3066300000,2900.51001,8,20,1,2.1,2.13,3.7,0.025,0.815,0.160
2019-08-21,2928.72998,2917.909912,2922.040039,2924.429932,3011190000,2924.429932,8,21,2,2.1,2.12,3.7,0.028,0.822,0.151
2019-08-22,2939.080078,2904.51001,2930.939941,2922.949951,2890880000,2922.949951,8,22,3,2.1,2.12,3.7,0.028,0.820,0.152
2019-08-23,2927.01001,2834.969971,2911.070068,2847.110107,3937300000,2847.110107,8,23,4,2.1,2.12,3.7,0.031,0.780,0.189
2019-08-26,2879.27002,2856,2866.699951,2878.379883,2857600000,2878.379883,8,26,0,2.1,2.12,3.7,0.028,0.824,0.148
2019-08-27,2898.790039,2860.590088,2893.139893,2869.159912,3533630000,2869.159912,8,27,1,2.1,2.12,3.7,0.029,0.838,0.134
2019-08-28,2890.030029,2853.050049,2861.280029,2887.939941,3097420000,2887.939941,8,28,2,2.1,2.12,3.7,0.034,0.810,0.156
