cik,txt_link
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917060403/0001104659-17-060403.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917048068/0001104659-17-048068.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917045904/0001104659-17-045904.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917044080/0001104659-17-044080.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917042549/0001104659-17-042549.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917040262/0001104659-17-040262.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917029446/0001104659-17-029446.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917027924/0001104659-17-027924.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917024344/0001104659-17-024344.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917023826/0001104659-17-023826.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917023582/0001104659-17-023582.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917018578/0001104659-17-018578.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917016308/0001104659-17-016308.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000104746917000771/0001047469-17-000771.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917010197/0001104659-17-010197.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917003925/0001104659-17-003925.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917003920/0001104659-17-003920.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917003742/0001104659-17-003742.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917000934/0001104659-17-000934.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465916162633/0001104659-16-162633.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465916161531/0001104659-16-161531.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465916158757/0001104659-16-158757.txt
