date,sentiment
20190502,"{'neg': 0.044, 'neu': 0.83, 'pos': 0.127, 'compound': 0.9997}"
20200410,"{'neg': 0.019, 'neu': 0.825, 'pos': 0.157, 'compound': 0.9999}"
20200312,"{'neg': 0.041, 'neu': 0.833, 'pos': 0.126, 'compound': 0.9997}"
20200203,"{'neg': 0.029, 'neu': 0.799, 'pos': 0.172, 'compound': 0.9999}"
20200130,"{'neg': 0.017, 'neu': 0.674, 'pos': 0.309, 'compound': 1.0}"
20200124,"{'neg': 0.042, 'neu': 0.769, 'pos': 0.19, 'compound': 0.9999}"
20191212,"{'neg': 0.045, 'neu': 0.824, 'pos': 0.132, 'compound': 0.9997}"
20190917,"{'neg': 0.052, 'neu': 0.805, 'pos': 0.144, 'compound': 0.9995}"
20190618,"{'neg': 0.058, 'neu': 0.79, 'pos': 0.152, 'compound': 0.9994}"
20200428,"{'neg': 0.098, 'neu': 0.749, 'pos': 0.152, 'compound': 0.9996}"
20200312,"{'neg': 0.005, 'neu': 0.839, 'pos': 0.156, 'compound': 0.9999}"
20200218,"{'neg': 0.006, 'neu': 0.854, 'pos': 0.14, 'compound': 0.9996}"
20200128,"{'neg': 0.086, 'neu': 0.765, 'pos': 0.149, 'compound': 0.9989}"
20191216,"{'neg': 0.011, 'neu': 0.872, 'pos': 0.117, 'compound': 0.9991}"
20191202,"{'neg': 0.012, 'neu': 0.866, 'pos': 0.123, 'compound': 0.9993}"
20191112,"{'neg': 0.006, 'neu': 0.866, 'pos': 0.127, 'compound': 0.9994}"
20191029,"{'neg': 0.077, 'neu': 0.762, 'pos': 0.161, 'compound': 0.9998}"
20190906,"{'neg': 0.007, 'neu': 0.868, 'pos': 0.125, 'compound': 0.9993}"
20190808,"{'neg': 0.007, 'neu': 0.801, 'pos': 0.192, 'compound': 0.9999}"
20190730,"{'neg': 0.087, 'neu': 0.763, 'pos': 0.151, 'compound': 0.9997}"
20190627,"{'neg': 0.009, 'neu': 0.772, 'pos': 0.219, 'compound': 0.9981}"
20190610,"{'neg': 0.03, 'neu': 0.765, 'pos': 0.205, 'compound': 1.0}"
20190517,"{'neg': 0.004, 'neu': 0.823, 'pos': 0.173, 'compound': 0.9917}"
20190430,"{'neg': 0.105, 'neu': 0.743, 'pos': 0.153, 'compound': 0.9995}"
20200416,"{'neg': 0.046, 'neu': 0.728, 'pos': 0.227, 'compound': 1.0}"
20200413,"{'neg': 0.036, 'neu': 0.839, 'pos': 0.125, 'compound': 0.9967}"
20200409,"{'neg': 0.044, 'neu': 0.823, 'pos': 0.134, 'compound': 0.999}"
20200319,"{'neg': 0.004, 'neu': 0.85, 'pos': 0.146, 'compound': 0.9996}"
20200304,"{'neg': 0.017, 'neu': 0.785, 'pos': 0.198, 'compound': 0.9996}"
